ID,Language,Parameter,Original,Morphemic,Gloss,Translation,Source,Comment
lil_ex_11,lil,,,??wáʔ=ɬkaxʷ=ha ləx̌láx̌-s [na=ʔac̓x̌-ən-ə́m=a s-k̓ík̓taʔ-s=a ta=cunam̓-xal-áɬxʷ=a] míx̌aɬ,IPFV=2SG.S=YNQ remember-CAUS ABSNT.DET=see-DIRTR-1PL.A=EXIS NMLZ-near-3.POSS=EXIS DET=teach-ACT-place=EXIS bear,‘Do you remember the bear we saw near the schoolhouse?’,"(Henry Davis, p.c.)",intervening PP
lil_ex_12,lil,,,??pún=ɬkan [na=qʷəz-ən-áxʷ=a ʔi=wáxʷ məc-xál] məc-lákaʔ,find+DIRTR=1SG.S ABSNT.DET=use-DIRTR-2SG.A=EXIS when[past]=IPSV+2SG.CNJ write-ACT write-tool,‘I found the pen you were writing with.’,"(Henry Davis, p.c.)",intervening CP. 
lil_ex_14,lil,,,?ác̓x̌-ən=ɬkan mútaʔ ta=sqáyxʷ=a [náq̓ʷ-xi[t]-c-as na=n-kạ́h=a] ,see-DIRTR=1SG.S again DET=man=EXIS steal-INDTR-1SG.O-3.A ABSNT.DET=1SG.POSS-car=EXIS,‘I again saw the man who stole my car.’,"(Henry Davis, p.c.)",
lil_ex_15,lil,,,wáʔ=ɬkaxʷ=ha ləx̌láx̌-s na=míx̌aɬ=a [ʔác̓x̌-ən-əm s-k̓ík̓taʔ-s=a ta=cunam̓-xal-áɬxʷ=a],IPFV=2SG.S=YNQ remember-CAUS ABSNT.DET=bear=EXIS see-DIRTR-1PL.A NMLZ-near-3.POSS=EXIS DET=teach-ACT-place=EXIS,‘Do you remember the bear we saw near the schoolhouse?’,"(Henry Davis, p.c.)",
lil_ex_16,lil,,,pún=ɬkan na=məc-lákʔ=a [qʷəz-ən-áxʷ ʔi=wáxʷ məc-xál],find+DIRTR=1SG.S ABSNT.DET=write-tool=EXIS use-DIRTR-2SG.A when[PAST]=IPFV+2SG.CNJ write-ACT,‘I found the pen you were writing with.’,"(Henry Davis, p.c.)",
lil_ex_17,lil,,,niɬ [ta=sx̌ətq=a l=ta=sqʷə́m=a] mays-ən(Ø)-ítas ʔi=sámʔ=a,COP DET=hole=EXIS in=DET=mountain=EXIS fix-DIRTR(-3.O)-3PL.A PL.DET=white.people=EXIS,‘It's a hole in the mountain that the white people made.’,"(Henry Davis, p.c.)",A cleft construction is used here to ensure the bracketed string is a constituent.
lil_ex_18,lil,,,*niɬ [l=ta=sqʷə́m=a ta=sx̌ətq=a] mays-ən(Ø)-ítas ʔi=sámʔ=a,COP in=DET=mountain=EXIS DET=hole=EXIS fix-DIRTR(-3.O)-3PL.A PL.DET=white.people=EXIS,Intended: ‘It's a hole in the mountain that the white people made.’,"(Henry Davis, p.c.)",
lil_ex_19,lil,,,*(waʔ=Ø) l=ta=sqʷə́m=a ta=sx̌ətq=a,be=3.S in=DET=mountain=EXIS DET=hole=EXIS,‘There's a hole (tunnel) in the mountain.’,"(Henry Davis, p.c.)",
lil_ex_20,lil,,,*(waʔ=Ø) l=ta=cítxʷ-s=a s-Bill,be in=DET=house-3.POSS=EXIS NMLZ-Bill,‘Bill is in his house.’,"(Henry Davis, p.c.)",
lil_ex_21,lil,,,*(waʔ) x̌zum̓'-qʷ ta-c̓qáx̌ʔ=a,IPFV big-head DET=horse=EXIS,‘The horse is big.’,"(Henry Davis, p.c.)",Only good with waʔ if the horse was temporarily big.
lil_ex_22,lil,,,waʔ waʔ l-ta=cítxʷ-s=a s-Bill,IPFV be in=DET=house-3.POSS=EXIS NMLZ-Bill,‘Bill is in his house (at the moment).’,"(Henry Davis, p.c.)",The imperfective auxiliary and the copula can and do co-occur.
lil_ex_23,lil,,,waʔ ltʔu ʔi=ʔaʔən̓wás=a míx̌ɬ,be over.there PL=DET=two.animal=EXIS bear,‘There are two bears over there.’,"(Henry Davis, p.c.)",
