ID,Language,Parameter,Original,Morphemic,Gloss,Translation,Source,Comment
kpy_ex_11,kpy,kpy_N_PostP,,umk-ə-k lajv-ə-ɣəjŋ-ə-n,forest-EP-LOC walk-EP-NMLZ-EP-ABS.SG,a walk in the woods,"Rafael Abramovitz, p.c.","correlates with information structure, here (not in the tundra) "
kpy_ex_12,kpy,kpy_M_M_N,,(ɣəmmo) t’-om-l’əql’aŋ-kemetʕa-n’-coccəm-av-ə-k-∅.,(1SG.ABS) 1SG.S-warm-winter-clothes-CAUS-get.prepared-CAUS-E-1SG.S-PFV, I prepared warm winter clothes.,"Kurebito_2017[p. 843, ex. 34a]",both adjectives? Or one modifier is noun?
kpy_ex_13,kpy,kpy_M_M_N,,(ɣəm-nan) n-om-qinew ləqleŋ-kine-w kimitʕa-w t’-ə-n-coccəm-aw-naw-∅.,(1SG.ERG) PRP-warm-ABS.PL winter-REL-ABS.PL clothes-ABS.PL 1SG.A-E-CAUS-get.prepared-CAUS-3PL.P.PFV, I prepared the warm winter clothes.,"Kurebito_2017[p. 843, ex. 34b]",
kpy_ex_14,kpy,kpy_N_M_M,,ŋavət͡ɕŋ-a mik-ə-ne-k ∅-en-aŋja-j mik-ə-ne-k ɣət͡ɕt͡ɕi na-ja-kətʔajŋa-ɣe wutku ∅-ku-jun-et-ə-ŋ-∅.,woman-ERG who-EP-OBL.SG-ERG 2/3.S/A.IND-1SG.O-praise-AOR who-EP-OBL.SG-ERG 2SG.ABS INV-FUT-scold-2SG.O here 2/3.S/A/IND-PRS-live-VBLZ-EP-PRS-3.S.IND,The woman who praised me who will scold you lives here.,"Abramovitz_2021[p. 162, ex. 321a, adapted]",
kpy_ex_15,kpy,kpy_N_M_M,,pit͡ɕɣ-ə-n/ pit͡ɕɣ-e jeq-e t-ewji-k jaq-ə-ŋ ɣə-nan ∅-ineɣej-ə-n t͡ɕoʎt͡ɕoʎ n-ə-mel-qin.,Food-EP-ABS.SG/ food-INST what-INST 1SG.S/A-eat-1SG.S what-EP-DAT 2SG-ERG 2/3.S/A.IND-add-EP-3(SG).O salt.ABS.SG ADJ-EP-good-ADJ.SG,The food that I ate that you added salt to is tasty.,"Abramovitz_2021[p. 162, ex. 321b, adapted]",
,,,,,,,,
kpy_ex_,kpy,kpy_A_N??,,n-ə-mejəŋ-qin təleʔun kajŋ-ə-n.,ADJ-EP-big-ADJ.SG see.1SG.S>3SG.O.PST bear-EP-ABS.SG,I saw a big bear.,"Rafael Abramovitz, p.c.","free adjectives + left-branch extraction"
kpy_ex_,kpy,??,,mujək-nəmnəm-ə-k kujunetəŋ ʔujemtewilʔ-ə-n əməŋ mekə-na-ŋ n-ə-ŋotə-qen.,1NSG-village-EP-LOC live.3SG.PRS person-EP-ABS.SG all who-OBL.SG-DAT ADJ-EP-angry-ADJ.3SG,"In our village there lives a person who is angry at everyone (lit. an angry-ateveryone person.)","Rafael Abramovitz, p.c.",



